model,category,value,count,pct_of_all_examples
qwen3-4b-instruct-2507,primary_outcome,correct,748,72.34
qwen3-4b-instruct-2507,primary_outcome,executable_wrong_result,251,24.275
qwen3-4b-instruct-2507,primary_outcome,database_execution_error,35,3.385
qwen3-4b-instruct-2507,runtime_error,unknown_column,24,2.321
qwen3-4b-instruct-2507,runtime_error,sqlite_syntax_error,5,0.484
qwen3-4b-instruct-2507,runtime_error,other_database_error,4,0.387
qwen3-4b-instruct-2507,runtime_error,aggregate_misuse,1,0.097
qwen3-4b-instruct-2507,runtime_error,unknown_table,1,0.097
qwen3-4b-instruct-2507,format_issue,compliant,1033,99.903
qwen3-4b-instruct-2507,format_issue,trailing_text_or_multiple_statements,1,0.097
qwen3-4b-instruct-2507,structural_mismatch,column_reference_mismatch,191,18.472
qwen3-4b-instruct-2507,structural_mismatch,literal_or_value_mismatch,99,9.574
qwen3-4b-instruct-2507,structural_mismatch,join_structure_mismatch,99,9.574
qwen3-4b-instruct-2507,structural_mismatch,table_selection_mismatch,88,8.511
qwen3-4b-instruct-2507,structural_mismatch,projection_count_mismatch,86,8.317
qwen3-4b-instruct-2507,structural_mismatch,aggregation_mismatch,47,4.545
qwen3-4b-instruct-2507,structural_mismatch,subquery_structure_mismatch,46,4.449
qwen3-4b-instruct-2507,structural_mismatch,select_or_subquery_count_mismatch,45,4.352
qwen3-4b-instruct-2507,structural_mismatch,distinct_mismatch,41,3.965
qwen3-4b-instruct-2507,structural_mismatch,set_operation_mismatch,31,2.998
qwen3-4b-instruct-2507,structural_mismatch,other_semantic_mismatch,29,2.805
qwen3-4b-instruct-2507,structural_mismatch,group_by_mismatch,20,1.934
qwen3-4b-instruct-2507,structural_mismatch,where_clause_mismatch,19,1.838
qwen3-4b-instruct-2507,structural_mismatch,limit_mismatch,13,1.257
qwen3-4b-instruct-2507,structural_mismatch,order_by_mismatch,12,1.161
qwen3-4b-instruct-2507,structural_mismatch,having_mismatch,11,1.064
qwen2.5-coder-1.5b-instruct,primary_outcome,correct,585,56.576
qwen2.5-coder-1.5b-instruct,primary_outcome,database_execution_error,230,22.244
qwen2.5-coder-1.5b-instruct,primary_outcome,executable_wrong_result,218,21.083
qwen2.5-coder-1.5b-instruct,primary_outcome,invalid_sql,1,0.097
qwen2.5-coder-1.5b-instruct,runtime_error,unknown_column,212,20.503
qwen2.5-coder-1.5b-instruct,runtime_error,unknown_table,14,1.354
qwen2.5-coder-1.5b-instruct,runtime_error,other_database_error,3,0.29
qwen2.5-coder-1.5b-instruct,runtime_error,aggregate_misuse,2,0.193
qwen2.5-coder-1.5b-instruct,format_issue,compliant,1034,100.0
qwen2.5-coder-1.5b-instruct,structural_mismatch,column_reference_mismatch,347,33.559
qwen2.5-coder-1.5b-instruct,structural_mismatch,join_structure_mismatch,258,24.952
qwen2.5-coder-1.5b-instruct,structural_mismatch,table_selection_mismatch,253,24.468
qwen2.5-coder-1.5b-instruct,structural_mismatch,literal_or_value_mismatch,135,13.056
qwen2.5-coder-1.5b-instruct,structural_mismatch,projection_count_mismatch,113,10.928
qwen2.5-coder-1.5b-instruct,structural_mismatch,select_or_subquery_count_mismatch,84,8.124
qwen2.5-coder-1.5b-instruct,structural_mismatch,subquery_structure_mismatch,62,5.996
qwen2.5-coder-1.5b-instruct,structural_mismatch,distinct_mismatch,58,5.609
qwen2.5-coder-1.5b-instruct,structural_mismatch,aggregation_mismatch,56,5.416
qwen2.5-coder-1.5b-instruct,structural_mismatch,set_operation_mismatch,55,5.319
qwen2.5-coder-1.5b-instruct,structural_mismatch,where_clause_mismatch,37,3.578
qwen2.5-coder-1.5b-instruct,structural_mismatch,other_semantic_mismatch,33,3.191
qwen2.5-coder-1.5b-instruct,structural_mismatch,group_by_mismatch,24,2.321
qwen2.5-coder-1.5b-instruct,structural_mismatch,order_by_mismatch,15,1.451
qwen2.5-coder-1.5b-instruct,structural_mismatch,limit_mismatch,14,1.354
qwen2.5-coder-1.5b-instruct,structural_mismatch,having_mismatch,8,0.774
deepseek-coder-1.3b-instruct,primary_outcome,correct,489,47.292
deepseek-coder-1.3b-instruct,primary_outcome,executable_wrong_result,441,42.65
deepseek-coder-1.3b-instruct,primary_outcome,database_execution_error,83,8.027
deepseek-coder-1.3b-instruct,primary_outcome,non_sql_or_unsafe,15,1.451
deepseek-coder-1.3b-instruct,primary_outcome,invalid_sql,6,0.58
deepseek-coder-1.3b-instruct,runtime_error,unknown_column,64,6.19
deepseek-coder-1.3b-instruct,runtime_error,non_sql_or_unsafe,15,1.451
deepseek-coder-1.3b-instruct,runtime_error,ambiguous_column,7,0.677
deepseek-coder-1.3b-instruct,runtime_error,unknown_function,6,0.58
deepseek-coder-1.3b-instruct,runtime_error,sqlite_syntax_error,4,0.387
deepseek-coder-1.3b-instruct,runtime_error,other_database_error,4,0.387
deepseek-coder-1.3b-instruct,runtime_error,unknown_table,3,0.29
deepseek-coder-1.3b-instruct,runtime_error,aggregate_misuse,1,0.097
deepseek-coder-1.3b-instruct,format_issue,markdown_fence,617,59.671
deepseek-coder-1.3b-instruct,format_issue,compliant,398,38.491
deepseek-coder-1.3b-instruct,format_issue,no_sql_in_response,15,1.451
deepseek-coder-1.3b-instruct,format_issue,prose_before_sql,3,0.29
deepseek-coder-1.3b-instruct,format_issue,trailing_text_or_multiple_statements,1,0.097
deepseek-coder-1.3b-instruct,structural_mismatch,column_reference_mismatch,405,39.168
deepseek-coder-1.3b-instruct,structural_mismatch,projection_count_mismatch,284,27.466
deepseek-coder-1.3b-instruct,structural_mismatch,join_structure_mismatch,250,24.178
deepseek-coder-1.3b-instruct,structural_mismatch,table_selection_mismatch,221,21.373
deepseek-coder-1.3b-instruct,structural_mismatch,literal_or_value_mismatch,174,16.828
deepseek-coder-1.3b-instruct,structural_mismatch,select_or_subquery_count_mismatch,151,14.603
deepseek-coder-1.3b-instruct,structural_mismatch,subquery_structure_mismatch,130,12.573
deepseek-coder-1.3b-instruct,structural_mismatch,aggregation_mismatch,101,9.768
deepseek-coder-1.3b-instruct,structural_mismatch,where_clause_mismatch,81,7.834
deepseek-coder-1.3b-instruct,structural_mismatch,set_operation_mismatch,60,5.803
deepseek-coder-1.3b-instruct,structural_mismatch,group_by_mismatch,47,4.545
deepseek-coder-1.3b-instruct,structural_mismatch,limit_mismatch,41,3.965
deepseek-coder-1.3b-instruct,structural_mismatch,order_by_mismatch,40,3.868
deepseek-coder-1.3b-instruct,structural_mismatch,distinct_mismatch,39,3.772
deepseek-coder-1.3b-instruct,structural_mismatch,other_semantic_mismatch,37,3.578
deepseek-coder-1.3b-instruct,structural_mismatch,having_mismatch,25,2.418
